CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,159,"    $10,000 to $19,999",,58585,,22825,,35755,,13.9,,11.2,,16.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,160,"    $20,000 to $29,999",,76150,,33170,,42985,,18.1,,16.2,,19.9,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,161,"    $30,000 to $39,999",,60370,,27370,,33000,,14.4,,13.4,,15.3,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,162,"    $40,000 to $49,999",,49770,,24100,,25675,,11.8,,11.8,,11.9,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,163,"    $50,000 to $59,999",,35470,,18230,,17240,,8.4,,8.9,,8,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,164,"    $60,000 to $69,999",,25270,,14110,,11165,,6,,6.9,,5.2,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,165,"    $70,000 to $79,999",,18730,,11075,,7655,,4.5,,5.4,,3.5,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,166,"    $80,000 to $89,999",,14360,,8340,,6025,,3.4,,4.1,,2.8,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,167,"    $90,000 to $99,999",,12190,,6490,,5705,,2.9,,3.2,,2.6,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,168,"    $100,000 and over",,36100,,25390,,10705,,8.6,,12.4,,5,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,169,"      $100,000 to $149,999",,24300,,16195,,8100,,5.8,,7.9,,3.8,
2021,2021A000210,10,Province,Newfoundland and Labrador,3.1,4.4,0,170,"      $150,000 and over",,11800,,9195,,2605,,2.8,,4.5,,1.2,
2021,2021A000211,11,Province,Prince Edward Island,2.4,3.2,0,175,"    $10,000 to $19,999",,15360,,6540,,8820,,12.5,,11,,13.9,
2021,2021A000211,11,Province,Prince Edward Island,2.4,3.2,0,176,"    $20,000 to $29,999",,25795,,11500,,14290,,21,,19.4,,22.5,
2021,2021A000211,11,Province,Prince Edward Island,2.4,3.2,0,177,"    $30,000 to $39,999",,24250,,11830,,12425,,19.7,,19.9,,19.6,
2021,2021A000211,11,Province,Prince Edward Island,2.4,3.2,0,178,"    $40,000 to $49,999",,18345,,9085,,9260,,14.9,,15.3,,14.6,
2021,2021A000211,11,Province,Prince Edward Island,2.4,3.2,0,179,"    $50,000 to $59,999",,11585,,6105,,5480,,9.4,,10.3,,8.6,
2021,2021A000211,11,Province,Prince Edward Island,2.4,3.2,0,180,"    $60,000 to $69,999",,7100,,3700,,3395,,5.8,,6.2,,5.3,
2021,2021A000211,11,Province,Prince Edward Island,2.4,3.2,0,181,"    $70,000 to $79,999",,4430,,2260,,2165,,3.6,,3.8,,3.4,
